"Passenger rail transport by type of transport"

"Passengers"	"Topic"	"Country"	"1970"	"1975"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Total"	"Number of passengers (1000s)"	"Albania"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2840	3961	4022	3739	3389	1820	2269	2270	2381	2676	2279	2070	1758	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Armenia"	..	..	..	..	..	..	..	..	..	..	..	..	20000	2800	2900	2900	3495	2969	1859	1919	1612	1323	1087	1169	1300	1100	..	..	..	..	..	..	..	..	551	415	375	346	352	..	..
"Total"	"Number of passengers (1000s)"	"Austria"	..	..	..	..	..	..	..	..	..	..	..	..	168385	173618	174935	181100	190412	194032	193428	183897	179465	181715	182700	183300	184800	..	217300	221600	225900	230400	238900	239700	242092	243981	262879	274327	278251	282379	288792	290583	309534
"Total"	"Number of passengers (1000s)"	"Azerbaijan"	..	..	..	..	..	..	..	..	..	..	..	..	16686	14288	11900	8933	10402	8955	4580	3789	4287	4050	4250	4646	4442	4735	5241	5492	5824	6598	6394	..	4803	3451	2668	2508	2517	1883	1978	..	..
"Total"	"Number of passengers (1000s)"	"Belarus"	..	..	..	..	..	..	..	..	..	..	..	..	147207	150144	..	201107	172091	147352	134140	146887	151022	168890	167843	154820	..	..	..	..	..	..	..	..	..	..	100487	99435	91594	87128	81795	..	..
"Total"	"Number of passengers (1000s)"	"Belgium"	..	..	..	..	..	..	..	..	..	..	..	..	142372	145473	145006	145347	142602	144012	141696	143463	145857	147291	153299	160287	164935	168363	178421	186606	197523	206500	216739	220379	..	..	..	..	..	..	..	..	..
"Total"	"Number of passengers (1000s)"	"Bosnia and Herzegovina"	..	..	..	..	..	..	..	..	..	..	..	..	13171	7527	1787	..	..	3038	2878	1476	1747	1796	1330	1287	1128	1092	..	1119	..	..	1256	..	898	821	846	627	528	512	409	472	..
"Total"	"Number of passengers (1000s)"	"Bulgaria"	..	..	..	..	..	..	..	..	..	..	..	..	102399	72787	75909	76085	65730	58940	66097	82656	64260	53112	50029	41817	33719	35206	34149	33748	34113	33283	33758	31360	30102	29308	26523	26072	24627	17074	21434	21203	..
"Total"	"Number of passengers (1000s)"	"Canada"	..	..	..	..	..	..	..	..	..	..	..	..	..	4256	4241	4112	4184	4082	4060	4104	3980	4103	4209	4179	4251	3598	4048	4257	..	..	4753	4373	..	4461	4246	4146	4094	4171	4241	..	..
"Total"	"Number of passengers (1000s)"	"Croatia"	..	..	..	..	..	..	..	..	..	..	..	..	40248	21790	17878	18760	19243	28623	29102	28785	28470	30472	34937	36964	36239	35980	36747	39842	46212	63131	70961	73545	69564	49983	27669	24265	21926	21683	20742	19832	..
"Total"	"Number of passengers (1000s)"	"Czechia"	..	..	..	..	..	..	..	..	..	..	..	..	289573	..	289600	242182	228719	227147	219244	202894	182944	177046	184765	190748	177232	174179	180949	180266	183027	184234	177424	164958	164802	167932	172801	174486	176050	176624	179172	183024	..
